phrase,target
 compared to a profit of EUR 1.3 mn in the corresponding period in 2008 ,negative
 down from EUR 43.8 mn a year earlier ,negative
 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 20,negative
 compared to EUR 207.1 mn a year earlier ,negative
Sanoma News ' advertising sales decreased by 22 % during the year ,negative
 according to the company ,negative
The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008 ,negative
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier ,negative
Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 ,negative
 lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ï¿½ ?,negative
The net sales decreased to EUR 49.8 million from EUR 59.9 million ,negative
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 ,negative
 down from EUR2 .30 ,negative
 compared to a profit of EUR 0.5 mn ,negative
 compared to 14.3 % in Q2 2009 ,negative
 Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day ,negative
 the growth margin slowed down due to the financial crisis ,negative
 after a potential suitor ruled itself out of a takeover bid ,negative
 and imports by 16.7 % ,negative
 down from EUR 1.6 mn ,negative
 Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 ,negative
000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier ,negative
 down 30.9 % year-on-year ,negative
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 ,negative
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 ,negative
Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 ,negative
 as compared to 2004 ,negative
 compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 ,negative
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 ,negative
 representing a decrease of 6 % ,negative
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 ,negative
Sales by Seppala diminished by 6 per cent ,negative
566 mn a year earlier ,negative
 the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 ,negative
 compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 ,negative
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 ,negative
 for the whole 2010 to be slightly lower than in 2009 ,negative
 the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 ,negative
 the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 ,negative
Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before ,negative
Net sales fell by 5 % from the previous accounting period ,negative
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year ,negative
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago ,negative
 as well as the operating margin target from the current 34-35 pct ,negative
256.02 on turnover of 813.191 mln eur ,negative
 including the costs of stranded passengers ' accommodation ,negative
 down from EUR 321.6 mn in 2005 ,negative
 representing a decrease of 5.5 % from October 2008 ,negative
 net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 ,negative
Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 ,negative
 said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m ,negative
 down from EUR46m ,negative
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 ,negative
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 ,negative
 dropping by 1.8 % to an 11.1 % share overall ,negative
Prices and delivery volumes of broadband products decreased significantly in 2005 ,negative
 down from EUR 2.7 mn in the corresponding period in 2008 ,negative
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers ,negative
Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres ,negative
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million ,negative
Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULT,negative
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 ,negative
Cash Flow from Operations for the most recent quarter also reached a eight year low ,negative
EPS dropped to EUR0 .2 from EUR0 .3 ,negative
 down from EUR 14.3 mn in 2009 ,negative
 expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes ,negative
 compared to a loss of EUR 15.4 mn in the corresponding period in 2008 ,negative
 in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet ,negative
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 ,negative
 compared to a profit of EUR 0.6 mn a year ago ,negative
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier ,negative
Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 ,negative
 the net sales declined to EUR 803.6 million from EUR 1.2 billion ,negative
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 ,negative
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 ,negative
000 for the same per,negative
 down 2.2 % from the corresponding period in 2004-2005 ,negative
 down from EUR 60.1 mn a year before ,negative
 down from EUR 168.8 mn in the corresponding period in 2008 ,negative
Net sales have been eaten by the weak US dollar ,negative
 sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month ,negative
 Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year ,negative
 reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 ,negative
 compared to EUR 35.8 mn in the corresponding period in 2007 ,negative
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 ,negative
Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 ,negative
Ruukki Group calculates that it has lost EUR 4mn in the failed project ,negative
The operating margin came down to 2.4 % from 5.7 % ,negative
 Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 ,negative
Finnish media company Talentum Oyj 's net profit decreased to 2.5 mln euro ( $ 4.0 mln ) for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln ) for the same period of 2007 ,negative
 and by 15.1 % in terms of local currencies ,negative
 including vessel sales gain of EUR 12.3 mn ,negative
Scanfil issued a profit warning on 10 April 2006 ,negative
 down from EUR 232.9 mn a year ago ,negative
 and restructuring costs in Japan ,negative
 down from EUR 4.5 mn in the corresponding period in 2005 ,negative
 compared to 11.8 % a year earlier ,negative
 compared to a profit of EUR 8.6 mn in the second quarter of 2008 ,negative
 compared to a profit of EUR 0.3 mn in the third quarter of 2008 ,negative
 higher costs and a strong euro hurt revenue ,negative
 compared to EUR 4.6 mn in the third quarter of 2007 ,negative
Subscription sales decreased slightly ,negative
 casting a cloud over its planned initial public offering ,negative
Operating profit for 2009 lower than outlook published earlier ,negative
047.4 mn in 2007 ,negative
 down from EUR 42.0 mn the year before ,negative
 down 2 percent from 28.1 billion in the fourth quarter in 2008 ,negative
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier ,negative
 down 50 percent from the start of the year in part because of the slow introduction of touch-screen models ,negative
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn ,negative
 compared to nearly EUR 20mn in the previous accounting period ,negative
000 euro $ 1.2 mln for the same period of fiscal 2005-06 ,negative
 representing 7.4 % of net sales ,negative
 compared to a profit of EUR 17.7 mn in the first half of 2008 ,negative
 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 ,negative
 the Bank of +ï¿½land reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 ,negative
Talentum 's net sales in September were smaller than expected ,negative
 down from EUR13 .8 m a year ago ,negative
 down from EUR 9.7 mn in the first half of 2008 ,negative
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 ,negative
Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004 ,negative
 and the operating profit margin will be lower than in 2008 due to lower sales volume ,negative
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period ,negative
 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 ,negative
 negative impact on the revenue ,negative
 down from  0.9 m as Glisten invested in the brand and the management team ,negative
 down from EUR 0.8 mn in the corresponding period in 2006 ,negative
The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running ,negative
000 euro ( $ 1.0 mln ) for the same period of 2007 ,negative
Sales of mid-strength beer decreased by 40 % ,negative
 compared to EUR 30.9 mn in 2009 ,negative
000 in January-March 2009 ,negative
 and now consumer prices are going down almost daily due to competition ,negative
UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki ,negative
Net sales dropped by 6 % year-on-year to EUR 11.9 million ,negative
 the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 ,negative
 compared to a profit of EUR 3.7 mn a year earlier ,negative
 and by 10.7 % in terms of local currency ,negative
 against EPS of EUR0 .74 in the corresponding period of 2008 ,negative
Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 ,negative
 down from EUR 6.3 mn in the corresponding period in 2009 ,negative
 Coca-Cola 's market share has decreased by 2.2 % to 24.2 % ,negative
Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 ,negative
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 ,negative
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million ,negative
Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 ,negative
 reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 ,negative
Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 ,negative
 the Finnish company said ,negative
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier ,negative
 sales decreased by 22.5 % to EUR 201.4 mn ,negative
`` Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy ,negative
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 ,negative
Reported operating margin was a negative 5.9 % ,negative
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 ,negative
 released today ,negative
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier ,negative
 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 ,negative
 slightly down from 16.5 mn in 2006 ,negative
The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year ,negative
Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing ,negative
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' ,negative
 released today ,negative
 down from EUR 3.56 mn in the first quarter of 2008 ,negative
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 ,negative
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million ,negative
 which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates ,negative
 paying off the national debt will be extremely painful ,negative
Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 ,negative
425.1 mn in January-June 2008 ,negative
 raw materials and transportation ,negative
Device volume in the area decreased by 21 % to 2.7 mn units ,negative
 down 4 percent from 2007 ,negative
 as well as currency factors ,negative
 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 ,negative
 coming at the lead of the blue-chip fallers ,negative
 partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices ,negative
 down from 14.4 % in the first quarter of 2008 ,negative
 the company 's 2005 result will remain weaker than that of 2004 ,negative
 sales fell by 42.6 % ,negative
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 ,negative
 which overshadowed the large number of new orders received during the three months ,negative
 where she called 911 ,neutral
Market data and analytics are derived from primary and secondary research ,neutral
Exel is headquartered in Mantyharju in Finland ,neutral
 leases and builds office properties and it specialises in facilities for technology-oriented businesses ,neutral
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate ,neutral
000 tonnes and net sales of EUR 135 million in 2007 ,neutral
Le Lay succeeds Walter G++nter and will be based in Finland ,neutral
000 square metres and it is valued at a total of around EUR75m ,neutral
 and $ 20 million worth of Cencorp shares to be issued to Savcor ,neutral
The acquisition is expected to take place by the end of August 2007 ,neutral
 a corporate function and an investment in Cencorp Corporation ,neutral
 said : `` A non-coherent search matrix is formed of said correlation function matrix ,neutral
 will report to Toivola ,neutral
 the space has blond wood floors ( unlike the rest of the store ) and a notably Scandinavian vibe ,neutral
The capital structure of Solidium may be complemented by other financial instruments in the future ,neutral
 while the plant in Nokia in Finland will manufacture tyres for other markets ,neutral
 videos and blog on the Internet via mobile phones as of March 2008 ,neutral
 Finland 's Ambassador to the Czech Republic ,neutral
 has developed a panel press ,neutral
Finnish food industry company L+ï¿½nnen Tehtaat is planning changes to its fish product business ,neutral
Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR ,neutral
Residents access to the block is planned to be from Aleksandri Street ,neutral
Stichting Pensioenfonds ABP : 4 118 122 shares representing 5.19 % of the share capital and voting rights ,neutral
Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards ,neutral
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process ,neutral
Customers include hotels and restaurants as well as wholesalers and some retailers ,neutral
 the five largest brands control 90 % of the beer market ,neutral
 followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share ,neutral
 and to polytechnics to be announced later ,neutral
 and by utilising its existing financing facilities ,neutral
2008,neutral
The company said that the results of the third quarter do not include non-recurring items ,neutral
 and 1 % in the US ,neutral
104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan ,neutral
The expansion is to be finalized in the autumn of 2009 ,neutral
 which will be completed in January 2008 ,neutral
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades ,neutral
 Karhu 's 21.4 % ,neutral
The transaction is planned to be financed with a EUR40m market-based loan granted by Standard Chartered Bank Hong Kong ,neutral
The value of the order is EUR 4mn ,neutral
The beers differ slightly from mainstream beers ,neutral
The size of a cider bottle will remain unchanged ,neutral
Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary ,neutral
 Pellonpaja Oy and Mansner Oy ,neutral
 will be built in 4 or 5 stages ,neutral
An EU law on the issue may be introduced around 2010 ,neutral
 OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 ,neutral
829,neutral
 process and receive materials related to absentee voting ,neutral
The value of the three-year contract is estimated at EUR40m ,neutral
 as well as boots and sandals ,neutral
 it will need a partner for sawmill operations ,neutral
Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . ',neutral
The order was valued at USD12 .2 m,neutral
2009,neutral
 Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real ,neutral
Marathon estimates the value of its remaining stake in Protalix at $ 27 million ,neutral
 Global Research & Data Services is going to publish several market analyses about the cement markets in Asia ,neutral
 says he will contact the management of Finnish company Componenta to find out if there are any alternatives to the company 's decision to close down its plant in +ï¿½m+ï¿½l ,neutral
 following the resignation of Mats Eriksson ,neutral
He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State ,neutral
000 sq m. It will also include apartments ,neutral
No changes in media activity were seen in October compared with September ,neutral
Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving ,neutral
000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab ,neutral
 who will transfer to the new company as so-called old employees ,neutral
 which generated revenues of EUR2 .4 m USD3 .3 m in 2010 ,neutral
 develops messaging and charging solutions for telecomms operators and service providers worldwide ,neutral
The EUR 0.7 million non-recurring expenses have been recorded for the third quarter ,neutral
000 readers ,neutral
- Profit before taxes was EUR 105.9 82.7 million ,neutral
The number of customers is one of the most important parameters in determining the price of electricity networks ,neutral
 will finish by the end of the year ,neutral
 as well as cranes and loaders ,neutral
The increase range will vary up to 10 % ,neutral
The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir ,neutral
Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention ,neutral
 raw data traffic and any type of content services in both mobile and fixed networks ,neutral
Any investment or investment activity to which this communication relates is only available to relevant persons and will be engaged in only with relevant persons ,neutral
Registration is required ,neutral
 an executive at Coscom told Interfax ,neutral
 will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 ,neutral
ND = Not disclosed ,neutral
 the acquiring company said ,neutral
Dragonfly Love is another video shot from start to finish using the Nokia N8 ,neutral
The profit after taxes was EUR 57.7 11.1 million ,neutral
 that makes flexible packaging ,neutral
The company will propose a dividend of EUR0 .12 per share for 2008 ,neutral
 converting materials and wood products ,neutral
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year ,neutral
 the hotel will operate under the brand Novotel ,neutral
ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj ,neutral
 employees and other investors ,neutral
 SVP of Marketing & Product Development at GyPSii said : ,neutral
110,neutral
 the Danish bank said ,neutral
 63 792 new shares of the company have been subscribed since 27 October 2010 with stock options 2004B ,neutral
 and systems incorporating them are used in many different applications ,neutral
 Reuters reported ,neutral
Rapala VMC Corporation ( Rapala ) is a Finland-based company engaged in the manufacture and distribution of fishing equipment and accessories ,neutral
 Alma Media owned 40 % of Kotikokki net ,neutral
The appointments will be in force until the new CEO has been appointed ,neutral
 EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board ,neutral
000 square metres ,neutral
Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher ,neutral
 opinions or distributions ,neutral
Customers in a wide range of industries use our stainless steel and services worldwide ,neutral
Currently the quarterly applied surcharges differ significantly from the actual market prices ,neutral
The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 ,neutral
The closing of such transaction took place today ,neutral
The estimated annual value of the frame agreement is about EUR 50mn ,neutral
An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET ,neutral
 Zain Bahrain ,neutral
 2006 the share subscription price under B option right is EUR 10.22 per share ,neutral
 the company has to look for growth abroad ,neutral
 however ,neutral
The company did not distribute a dividend in 2005 ,neutral
Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai ,neutral
 and adult day care ,neutral
 however ,neutral
The credit covers approximately 70 % of the ship 's price ,neutral
 where it already operates a hook manufacturing and distribution unit ,neutral
The new chain has 700 discount stores and 250 supermarkets ,neutral
 the company 's loans amounted to EUR 10.113 mn ,neutral
 will be appointed managing director of Oriola in addition to his current responsibilities ,neutral
Finnish investment company Neomarkka is the main owner of Kuitu Finland 's successor ,neutral
000 subscribers and had a market share of approximately 27 % as of May 2007 ,neutral
 operating and transferring as well as optimising the Indosat 3G network ,neutral
 tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement ,neutral
 USA ,neutral
755 shares as per today ,neutral
 the market cap segments will be updated according to the average price in May 2007 ,neutral
No financial or pricing details were disclosed ,neutral
 data traffic and any kind of content services in both mobile and fixed networks ,neutral
2010,neutral
 with about 40 million returns filed in April ,neutral
 as well as catering and households ,neutral
 the company estimated ,neutral
 floorball sticks and antenna radomes ,neutral
 making up 0.1 percent of Slovakia 's total imports ,neutral
 3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions ,neutral
 Market Street and United Supermercado ,neutral
Kemira 's partner in the project is St. Petersburg Water Works ,neutral
The bridge will be 1.2 km long and is located between Anasmotet by the road E20 and the new traffic junction in Marieholm by the road E45 ,neutral
 the software licensing consortium led by Nokia ,neutral
 called Moorestown ,neutral
 limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making ,neutral
 manufactures and markets composite profiles and tubes for industrial applications ,neutral
 10 arranged movable in relation to the smelt spouts ,neutral
 the U.S. Patent & Trademark Office announced ,neutral
 Vodafone UK ,neutral
 is part of the bank 's domestic bond program ,neutral
 the new shares will constitute 10 percent of the firm 's capital ,neutral
000 people ,neutral
M. and a Master of Business Administration MBA ,neutral
 39 % from Aspo Shipping and 25 % from Aspo Systems ,neutral
The deal is subject to approval by the Norwegian competition authorities ,neutral
A paper mill in the central Maine town of Madison soon will have a new owner ,neutral
The order also includes start-up and commissioning services ,neutral
Closing of such transaction took place today ,neutral
 the company said ,neutral
 fish and poultry market in Finland ,neutral
The total project duration is three years and it is valued at some EUR11 .5 m,neutral
Name of Company in which holdings have been acquired : Citycon Oyj 2 ,neutral
This organization will assume the responsibility for operations in Russia ,neutral
 and another for calls on other operators ' networks ,neutral
The plant is expected to enter commercial operation by mid-2009 ,neutral
The contract is worth some EUR 1 million ,neutral
Insurance policies should be simple ,neutral
The order is related to renewing the network of the telecommunications operator ,neutral
The contract will take effect in 2009 for a five or ten year period ,neutral
18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com ,neutral
The duration of the contract is 37 months ,neutral
 and operating profit EUR 3.88 mn ,neutral
 Audi had a market share of 3.1 percent and Seat 's share was 0.9 percent ,neutral
 the same day at 12:30 - 1:30 p.m. Light lunch will be served ,neutral
The new location is n't the only change Wellmont has in store for its air transport service ,neutral
 according to Bloomberg ,neutral
